Safe testfile,time1,Unsafe testfile,time2
48_45,14.734522581100464,,
48_55,14.670928955078125,,
48_121,14.485220193862915,,
48_142,15.04262638092041,,
48_181,15.526736497879028,,
48_186,16.044979572296143,,
48_188,15.249343156814575,,
48_189,15.22852373123169,,
48_195,15.815137386322021,,
49_52,15.325719833374023,,
49_57,15.275251388549805,,
49_84,15.338148355484009,,
49_101,15.995904922485352,,
49_124,14.985738515853882,,
49_134,14.931970834732056,,
49_175,14.858802080154419,,
